Parameter                       ,BU_Machine_config_06_25_25.ini ,m1_config_06_24_25.ini
Total_Channel                   ,16                             ,8
step_to_mulse                   ,8.45569                        ,21.154266
MachineTotalSteps               ,12713                          ,19033
PrintHeaderArrageMode           ,1                              ,0
horz_motor_zero_pos             ,50                             ,10
horz_motor_to_zero_speed        ,1                              ,2
single_print_speed              ,12                             ,8
ResumePrintSpeed                ,15                             ,8
HorzMotorSpeed_To_CarriagePaper ,5                              ,8
HorzMotorLeftRightMoveSpeed     ,5                              ,8
horz_motor_speed_up_steps       ,30                             ,9
VariableDotSpeed_180_1          ,9                              ,28
VariableDotSpeed_360_0          ,5                              ,10
VariableDotSpeed_360_1          ,19                             ,18
VariableDotSpeed_360_2          ,35                             ,38
VariableDotSpeed_720_0          ,5                              ,36
VariableDotSpeed_720_1          ,5                              ,40
VariableDotSpeed_720_2          ,5                              ,52
VariableDotSpeed_900_0          ,5                              ,40
VariableDotSpeed_900_1          ,5                              ,40
VariableDotSpeed_900_2          ,5                              ,40
VariableDotSpeed_1200_0         ,5                              ,40
VariableDotSpeed_1200_1         ,5                              ,40
VariableDotSpeed_1200_2         ,5                              ,40
VariableDotSpeed_1500_0         ,5                              ,40
VariableDotSpeed_1500_1         ,5                              ,40
VariableDotSpeed_1500_2         ,5                              ,40
vert_motor_total_length         ,18000                          ,30000
vert_begin_length               ,98                             ,112
vert_motor_zero_pos             ,10                             ,30
Vert_Motor_Speed_0              ,5                              ,40
Vert_Motor_Speed_1              ,6                              ,50
Vert_Motor_Speed_2              ,2                              ,10
VertEndPrintSpeed               ,6                              ,40
vert_motor_to_zero_speed        ,2                              ,20
vert_motor_speed_up_steps       ,15                             ,40
ZMotorOneStepLength             ,321.240479                     ,1516.96875
ZMotorToZeroSpeed               ,2                              ,5
ZMotorHighDistance              ,22                             ,28.5
ZMotorMoveSpeed                 ,2                              ,10
ZMotorTotalLength               ,120                            ,110
MachineColorSelect_0            ,0                              ,99
MachineColorSelect_3            ,3                              ,99
MachineColorSelect_4            ,99                             ,3
MachineColorSelect_5            ,99                             ,0
DiffColorEx_360_1_2_L           ,81                             ,-633
DiffColorEx_360_2_3_L           ,566                            ,-553
DiffColorEx_360_3_4_L           ,647                            ,-71
DiffColorEx_360_4_5_L           ,1698                           ,550
DiffColorEx_360_5_6_L           ,1781                           ,470
DiffColorEx_360_6_7_L           ,2267                           ,300
DiffColorEx_360_7_8_L           ,2347                           ,400
DiffColorEx_360_1_2_R           ,84                             ,-633
DiffColorEx_360_2_3_R           ,565                            ,-553
DiffColorEx_360_3_4_R           ,649                            ,-71
DiffColorEx_360_4_5_R           ,1697                           ,550
DiffColorEx_360_5_6_R           ,1780                           ,470
DiffColorEx_360_6_7_R           ,2265                           ,300
DiffColorEx_360_7_8_R           ,2348                           ,400
Bidirection_360_2               ,16                             ,12
CiZhuanJi_T_Clear_Print_Num     ,100                            ,1
CiZhuanJi_T_Clear_Print_Time    ,300                            ,1
PrintHead2ClearFlashTimes       ,2                              ,1
DebugSetting                    ,1                              ,0
distance_carriage_paper         ,400                            ,782
Standby_Flash_Interval_Time     ,600                            ,3000
Standby_Flash_Time              ,2                              ,1
PinBanWhiteArrangeMode          ,2                              ,0
PrintDotV_4                     ,5                              ,0
PrintDotV_5                     ,5                              ,0
PrintDotV_6                     ,5                              ,0
PrintDotV_7                     ,5                              ,0
PrintDotV_8                     ,5                              ,0
PrintDotV_9                     ,5                              ,0
PrintDotV_10                    ,5                              ,0
PrintDotV_11                    ,5                              ,0
HidePrintDirction               ,1                              ,0
uv_lamp_distance                ,60                             ,0
UseUvLamp                       ,0                              ,1
UV1LampL2ROpenOrClose           ,0                              ,1
UV2LampL2ROpenOrClose           ,1                              ,0
UV1LampDistance                 ,300                            ,10
UV2LampDistance                 ,-400                           ,-10
VertBeginAlign                  ,1                              ,0
WhiteInkHeadsSel                ,0                              ,2
WhitePrintHead                  ,0                              ,192
EnRollerMode                    ,1                              ,0
IsYResetPosition                ,1                              ,0
ValidSectionPer                 ,0.25                           ,0.2
VertMotorOneStepLength_0        ,4.229289                       ,105.871262
